Model,Task,Noise_Type,Noise_Level,Seed,accuracy_gap,dp_diff,Acc_Asian,Acc_Black,Acc_Indian,Acc_Others,Acc_White,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Ours,age,impulse,1,2,0.1762,,,,,,,,,0.7865,0.4912,0.6443,0.7143,0.1378,0.1633,0.3409,0.4314,0.5094
Ours,age,impulse,2,2,0.1796,,,,,,,,,0.6742,0.4211,0.5638,0.6429,0.1071,0.1633,0.2727,0.3922,0.4906
Ours,age,impulse,3,2,0.1270,,,,,,,,,0.6180,0.5614,0.5503,0.5714,0.0969,0.1327,0.2386,0.3922,0.5094
Ours,age,jpeg,1,2,0.2189,,,,,,,,,0.8876,0.4211,0.7114,0.6429,0.3622,0.1735,0.3068,0.3333,0.6604
Ours,age,jpeg,2,2,0.2372,,,,,,,,,0.8764,0.2456,0.7584,0.6429,0.3061,0.2041,0.3182,0.2941,0.5849
Ours,age,jpeg,3,2,0.2213,,,,,,,,,0.8315,0.3509,0.7282,0.7143,0.2143,0.2449,0.3068,0.2353,0.6226
Ours,age,shot,1,2,0.2111,,,,,,,,,0.7865,0.6316,0.5805,0.6143,0.1735,0.1633,0.3750,0.3922,0.5472
Ours,age,shot,2,2,0.1806,,,,,,,,,0.7528,0.5439,0.4966,0.6286,0.1786,0.1735,0.2614,0.3333,0.4717
Ours,age,shot,3,2,0.1540,,,,,,,,,0.6966,0.5614,0.3792,0.5286,0.1531,0.2041,0.1591,0.3725,0.3962
Ours,age,clean,0,3,0.2005,,,,,,,,,0.8539,0.4035,0.7248,0.6143,0.3724,0.1735,0.3977,0.2549,0.6604
Ours,age,cutout,1,3,0.2607,,,,,,,,,0.8427,0.4386,0.7450,0.6429,0.2959,0.1837,0.4205,0.2745,0.6981
Ours,age,cutout,2,3,0.2410,,,,,,,,,0.8427,0.4386,0.7685,0.6000,0.2806,0.1429,0.3864,0.2745,0.6981
Ours,age,cutout,3,3,0.2264,,,,,,,,,0.8202,0.3860,0.7584,0.6000,0.2908,0.1837,0.3636,0.2941,0.6415
Ours,age,defocus,1,3,0.2311,,,,,,,,,0.7079,0.3333,0.6946,0.5571,0.5102,0.1224,0.2159,0.3137,0.4340
Ours,age,defocus,2,3,0.1838,,,,,,,,,0.4607,0.2807,0.6040,0.5000,0.4643,0.1224,0.1023,0.3137,0.3019
Ours,age,defocus,3,3,0.0946,,,,,,,,,0.3933,0.3158,0.4698,0.3571,0.4541,0.1531,0.0000,0.3137,0.2453
Ours,age,gaussian,1,3,0.2061,,,,,,,,,0.8539,0.6140,0.5101,0.5000,0.1378,0.1224,0.2841,0.3725,0.5660
Ours,age,gaussian,2,3,0.2176,,,,,,,,,0.7528,0.6667,0.4698,0.5429,0.1480,0.1224,0.2386,0.4118,0.5660
Ours,age,gaussian,3,3,0.2004,,,,,,,,,0.6629,0.5965,0.4228,0.4571,0.1224,0.1327,0.1705,0.4314,0.3962
Ours,age,glass,1,3,0.2428,,,,,,,,,0.8764,0.4035,0.7047,0.6429,0.3929,0.1939,0.3636,0.3137,0.6226
Ours,age,glass,2,3,0.2320,,,,,,,,,0.8539,0.3509,0.6946,0.6000,0.3980,0.2347,0.2841,0.3137,0.5283
Ours,age,glass,3,3,0.1780,,,,,,,,,0.7303,0.2807,0.6544,0.5857,0.4796,0.1429,0.2614,0.2549,0.4906
Ours,age,impulse,1,3,0.1495,,,,,,,,,0.8539,0.5789,0.5336,0.5571,0.1735,0.1633,0.2614,0.4314,0.5660
Ours,age,impulse,2,3,0.1646,,,,,,,,,0.7865,0.5965,0.4899,0.5000,0.1684,0.1020,0.2273,0.3922,0.5472
Ours,age,impulse,3,3,0.1938,,,,,,,,,0.7640,0.6667,0.4295,0.3571,0.1633,0.0714,0.1705,0.3922,0.5094
Ours,age,jpeg,1,3,0.2071,,,,,,,,,0.8539,0.4035,0.7215,0.6429,0.3724,0.1735,0.3977,0.2745,0.6604
Ours,age,jpeg,2,3,0.1977,,,,,,,,,0.8090,0.2456,0.7584,0.6143,0.3010,0.1633,0.3295,0.3137,0.6038
Ours,age,jpeg,3,3,0.2382,,,,,,,,,0.7640,0.3509,0.6745,0.7286,0.2908,0.1327,0.3182,0.3529,0.6038
Ours,age,shot,1,3,0.1730,,,,,,,,,0.7978,0.5965,0.5369,0.5143,0.1531,0.0816,0.3750,0.3725,0.5849
Ours,age,shot,2,3,0.2077,,,,,,,,,0.7753,0.6491,0.4396,0.5143,0.1786,0.0714,0.2045,0.3333,0.5660
Ours,age,shot,3,3,0.2275,,,,,,,,,0.6067,0.7544,0.3591,0.3857,0.1122,0.0816,0.2386,0.4118,0.4906
Ours,age,clean,0,4,0.2165,,,,,,,,,0.9101,0.4035,0.7349,0.6000,0.3571,0.1735,0.3068,0.2353,0.6038
Ours,age,cutout,1,4,0.2362,,,,,,,,,0.8764,0.4737,0.7819,0.6143,0.3112,0.1633,0.3864,0.1765,0.7358
Ours,age,cutout,2,4,0.2283,,,,,,,,,0.8876,0.4386,0.7617,0.5714,0.2908,0.1224,0.3864,0.1765,0.6981
Ours,age,cutout,3,4,0.1978,,,,,,,,,0.8652,0.3860,0.7584,0.5857,0.3010,0.1837,0.4091,0.1569,0.6792
Ours,age,defocus,1,4,0.2227,,,,,,,,,0.7640,0.3158,0.6711,0.6286,0.4796,0.1735,0.1818,0.3137,0.4906
Ours,age,defocus,2,4,0.1800,,,,,,,,,0.5730,0.2456,0.4933,0.4714,0.5204,0.1939,0.0795,0.2941,0.2642
Ours,age,defocus,3,4,0.1434,,,,,,,,,0.4607,0.2982,0.3557,0.3429,0.5510,0.1735,0.0341,0.3137,0.2075
Ours,age,gaussian,1,4,0.2308,,,,,,,,,0.8427,0.5965,0.5403,0.5714,0.2092,0.1837,0.3636,0.2549,0.6038
Ours,age,gaussian,2,4,0.1849,,,,,,,,,0.7753,0.5965,0.5235,0.5143,0.1684,0.1327,0.3523,0.2353,0.5472
Ours,age,gaussian,3,4,0.2263,,,,,,,,,0.7416,0.5439,0.4564,0.4857,0.1582,0.1327,0.2386,0.2353,0.4151
Ours,age,glass,1,4,0.2241,,,,,,,,,0.8989,0.3509,0.6980,0.5857,0.4031,0.2041,0.3295,0.2549,0.6038
Ours,age,glass,2,4,0.2372,,,,,,,,,0.8652,0.3509,0.6980,0.6000,0.4184,0.1939,0.2841,0.2941,0.6038
Ours,age,glass,3,4,0.1894,,,,,,,,,0.7753,0.2982,0.6208,0.6143,0.4592,0.1531,0.2273,0.2941,0.5283
Ours,age,impulse,1,4,0.1710,,,,,,,,,0.7865,0.5789,0.6174,0.6000,0.1684,0.1429,0.3636,0.2941,0.6038
Ours,age,impulse,2,4,0.1929,,,,,,,,,0.7416,0.4912,0.5369,0.6000,0.1480,0.0714,0.3409,0.2353,0.6415
Ours,age,impulse,3,4,0.1668,,,,,,,,,0.6854,0.5263,0.5403,0.4571,0.1633,0.0510,0.3182,0.2549,0.6792
Ours,age,jpeg,1,4,0.2217,,,,,,,,,0.9101,0.3860,0.7315,0.6143,0.3571,0.1735,0.3182,0.2353,0.6038
Ours,age,jpeg,2,4,0.2428,,,,,,,,,0.8989,0.2632,0.7819,0.6429,0.2857,0.2143,0.3068,0.2745,0.6038
Ours,age,jpeg,3,4,0.2245,,,,,,,,,0.8090,0.2807,0.6812,0.7286,0.2755,0.2755,0.2727,0.3333,0.6226
Ours,age,shot,1,4,0.2111,,,,,,,,,0.8090,0.5439,0.5638,0.5429,0.2143,0.1122,0.3864,0.2549,0.6038
Ours,age,shot,2,4,0.2063,,,,,,,,,0.7303,0.5614,0.4664,0.5429,0.1990,0.0714,0.3182,0.1569,0.5660
Ours,age,shot,3,4,0.2470,,,,,,,,,0.6742,0.5789,0.4128,0.4286,0.1378,0.1020,0.2727,0.2353,0.5094
