Model,Task,Noise_Type,Noise_Level,Acc_mean,Acc_std,F1_macro_mean,F1_macro_std,AUC_mean,AUC_std,accuracy_gap_mean,accuracy_gap_std,dp_diff_mean,dp_diff_std,worst_group_acc_mean,worst_group_acc_std,best_group_acc_mean,best_group_acc_std,eq_odds_diff_mean,eq_odds_diff_std
Ours,gender,impulse,2,0.8872,0.0044,0.8872,0.0044,0.9588,0.0012,0.0890,0.0305,0.2287,0.0313,0.8382,0.0201,0.9272,0.0143,0.1391,0.0360
Ours,gender,impulse,3,0.8742,0.0043,0.8742,0.0043,0.9492,0.0012,0.1219,0.0207,0.2024,0.0159,0.8053,0.0136,0.9271,0.0107,0.1509,0.0282
Ours,gender,jpeg,1,0.9224,0.0048,0.9224,0.0048,0.9756,0.0007,0.0744,0.0100,0.2238,0.0245,0.8789,0.0100,0.9534,0.0000,0.0991,0.0119
Ours,gender,jpeg,2,0.9188,0.0041,0.9188,0.0041,0.9740,0.0011,0.0863,0.0149,0.2241,0.0231,0.8671,0.0127,0.9534,0.0052,0.1094,0.0160
Ours,gender,jpeg,3,0.9220,0.0039,0.9220,0.0039,0.9753,0.0006,0.0726,0.0240,0.1940,0.0217,0.8763,0.0244,0.9489,0.0045,0.0840,0.0293
Ours,gender,shot,1,0.9120,0.0077,0.9119,0.0077,0.9722,0.0018,0.0595,0.0234,0.1764,0.0158,0.8803,0.0244,0.9397,0.0122,0.0629,0.0173
Ours,gender,shot,2,0.8956,0.0011,0.8955,0.0011,0.9637,0.0014,0.0715,0.0114,0.1789,0.0098,0.8592,0.0128,0.9307,0.0055,0.1035,0.0085
Ours,gender,shot,3,0.8706,0.0024,0.8706,0.0024,0.9437,0.0011,0.0824,0.0062,0.1813,0.0176,0.8485,0.0025,0.9310,0.0053,0.1221,0.0149
Ours,race,clean,0,0.7708,0.0047,0.6882,0.0065,0.8955,0.0028,0.0102,0.0080,,,0.7657,0.0044,0.7758,0.0075,0.0466,0.0018
Ours,race,cutout,1,0.7726,0.0043,0.6848,0.0058,0.9013,0.0021,0.0068,0.0046,,,0.7692,0.0040,0.7760,0.0057,0.0423,0.0149
Ours,race,cutout,2,0.7732,0.0019,0.6847,0.0059,0.8995,0.0018,0.0124,0.0067,,,0.7669,0.0039,0.7794,0.0038,0.0433,0.0098
Ours,race,cutout,3,0.7704,0.0040,0.6742,0.0082,0.9011,0.0016,0.0093,0.0052,,,0.7657,0.0058,0.7750,0.0036,0.0239,0.0080
Ours,race,defocus,1,0.7460,0.0037,0.6606,0.0058,0.8818,0.0021,0.0081,0.0042,,,0.7419,0.0020,0.7500,0.0056,0.0462,0.0114
Ours,race,defocus,2,0.7040,0.0032,0.6081,0.0051,0.8618,0.0024,0.0108,0.0082,,,0.6985,0.0021,0.7094,0.0070,0.0399,0.0108
Ours,race,defocus,3,0.6490,0.0160,0.5429,0.0153,0.8308,0.0047,0.0130,0.0082,,,0.6425,0.0163,0.6555,0.0168,0.0501,0.0150
Ours,race,gaussian,1,0.7444,0.0015,0.6533,0.0028,0.8794,0.0035,0.0217,0.0105,,,0.7335,0.0050,0.7552,0.0059,0.0370,0.0068
Ours,race,gaussian,2,0.7214,0.0061,0.6138,0.0072,0.8702,0.0035,0.0201,0.0054,,,0.7113,0.0069,0.7313,0.0065,0.0427,0.0080
Ours,race,gaussian,3,0.6966,0.0034,0.5818,0.0087,0.8537,0.0027,0.0285,0.0056,,,0.6823,0.0060,0.7107,0.0017,0.0644,0.0111
Ours,race,glass,1,0.7638,0.0047,0.6776,0.0066,0.8930,0.0027,0.0083,0.0031,,,0.7596,0.0057,0.7679,0.0040,0.0338,0.0086
Ours,race,glass,2,0.7468,0.0048,0.6629,0.0068,0.8883,0.0032,0.0185,0.0036,,,0.7375,0.0048,0.7560,0.0054,0.0445,0.0095
Ours,race,glass,3,0.7504,0.0032,0.6722,0.0052,0.8859,0.0022,0.0352,0.0042,,,0.7327,0.0049,0.7679,0.0024,0.0746,0.0094
Ours,race,impulse,1,0.7276,0.0029,0.6266,0.0062,0.8779,0.0032,0.0260,0.0134,,,0.7145,0.0075,0.7405,0.0071,0.0376,0.0040
Ours,race,impulse,2,0.7196,0.0047,0.6062,0.0055,0.8701,0.0029,0.0099,0.0066,,,0.7146,0.0038,0.7245,0.0072,0.0313,0.0071
Ours,race,impulse,3,0.7000,0.0035,0.5732,0.0054,0.8622,0.0037,0.0192,0.0093,,,0.6903,0.0031,0.7095,0.0076,0.0450,0.0065
Ours,race,jpeg,1,0.7714,0.0048,0.6884,0.0064,0.8954,0.0028,0.0090,0.0052,,,0.7669,0.0034,0.7759,0.0069,0.0467,0.0035
Ours,race,jpeg,2,0.7690,0.0062,0.6815,0.0095,0.8908,0.0029,0.0091,0.0051,,,0.7644,0.0081,0.7735,0.0050,0.0364,0.0058
Ours,race,jpeg,3,0.7562,0.0043,0.6636,0.0064,0.8758,0.0031,0.0179,0.0060,,,0.7472,0.0054,0.7651,0.0050,0.0356,0.0117
Ours,race,shot,1,0.7392,0.0032,0.6436,0.0048,0.8826,0.0029,0.0186,0.0030,,,0.7298,0.0038,0.7484,0.0033,0.0405,0.0121
Ours,race,shot,2,0.7114,0.0044,0.6072,0.0062,0.8669,0.0024,0.0250,0.0099,,,0.6988,0.0023,0.7238,0.0090,0.0718,0.0089
Ours,race,shot,3,0.6768,0.0052,0.5653,0.0069,0.8440,0.0022,0.0356,0.0066,,,0.6589,0.0067,0.6944,0.0054,0.0621,0.0036
