Model,Task,Noise_Type,Noise_Level,Seed,N_samples,Acc,F1_macro,AUC,Acc_Asian,Acc_Black,Acc_Indian,Acc_Others,Acc_White,accuracy_gap,worst_group_acc,best_group_acc,dp_diff,eq_odds_diff,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Baseline,race,clean,0,0,1000,0.767000,0.672262,0.906847,0.835526,0.880829,0.686667,0.166667,0.838480,0.001728,0.766129,0.767857,,0.046464,,,,,,,,,,,
Baseline,race,cutout,1,0,1000,0.760000,0.670466,0.907141,0.763158,0.875648,0.680000,0.202381,0.845606,0.004160,0.757937,0.762097,,0.041668,,,,,,,,,,,
Baseline,race,cutout,2,0,1000,0.755000,0.662024,0.904259,0.769737,0.870466,0.646667,0.190476,0.847981,0.017921,0.745968,0.763889,,0.026966,,,,,,,,,,,
Baseline,race,cutout,3,0,1000,0.771000,0.685650,0.907237,0.769737,0.854922,0.693333,0.226190,0.869359,0.013665,0.764113,0.777778,,0.032747,,,,,,,,,,,
Baseline,race,defocus,1,0,1000,0.720000,0.623928,0.882246,0.671053,0.823834,0.540000,0.190476,0.859857,0.016481,0.711694,0.728175,,0.044119,,,,,,,,,,,
Baseline,race,defocus,2,0,1000,0.659000,0.535144,0.836770,0.493421,0.730570,0.366667,0.095238,0.902613,0.027458,0.645161,0.672619,,0.029357,,,,,,,,,,,
Baseline,race,defocus,3,0,1000,0.607000,0.473637,0.792544,0.315789,0.652850,0.300000,0.095238,0.902613,0.012289,0.600806,0.613095,,0.083180,,,,,,,,,,,
Baseline,race,gaussian,1,0,1000,0.706000,0.585873,0.864561,0.572368,0.751295,0.560000,0.071429,0.912114,0.000704,0.705645,0.706349,,0.021881,,,,,,,,,,,
Baseline,race,gaussian,2,0,1000,0.687000,0.564589,0.858957,0.500000,0.715026,0.473333,0.083333,0.938242,0.019009,0.677419,0.696429,,0.020046,,,,,,,,,,,
Baseline,race,gaussian,3,0,1000,0.643000,0.498343,0.833680,0.375000,0.647668,0.446667,0.023810,0.931116,0.031714,0.627016,0.658730,,0.073854,,,,,,,,,,,
Baseline,race,glass,1,0,1000,0.758000,0.657731,0.905962,0.769737,0.875648,0.660000,0.154762,0.855107,0.003872,0.756048,0.759921,,0.041707,,,,,,,,,,,
Baseline,race,glass,2,0,1000,0.744000,0.652168,0.897413,0.690789,0.860104,0.686667,0.178571,0.843230,0.000096,0.743952,0.744048,,0.069466,,,,,,,,,,,
Baseline,race,glass,3,0,1000,0.721000,0.625145,0.888565,0.644737,0.834197,0.606667,0.178571,0.845606,0.030466,0.705645,0.736111,,0.051439,,,,,,,,,,,
Baseline,race,impulse,1,0,1000,0.706000,0.575568,0.868584,0.532895,0.766839,0.620000,0.047619,0.902613,0.008705,0.701613,0.710317,,0.036728,,,,,,,,,,,
Baseline,race,impulse,2,0,1000,0.677000,0.535231,0.849823,0.467105,0.715026,0.533333,0.023810,0.916865,0.015169,0.669355,0.684524,,0.021095,,,,,,,,,,,
Baseline,race,impulse,3,0,1000,0.652000,0.500347,0.825026,0.473684,0.658031,0.420000,0.000000,0.926366,0.021569,0.641129,0.662698,,0.047297,,,,,,,,,,,
Baseline,race,jpeg,1,0,1000,0.766000,0.671332,0.906844,0.828947,0.880829,0.686667,0.166667,0.838480,0.003744,0.764113,0.767857,,0.044191,,,,,,,,,,,
Baseline,race,jpeg,2,0,1000,0.764000,0.654937,0.896179,0.743421,0.901554,0.746667,0.107143,0.845606,0.023778,0.752016,0.775794,,0.041137,,,,,,,,,,,
Baseline,race,jpeg,3,0,1000,0.741000,0.612949,0.884332,0.677632,0.870466,0.666667,0.047619,0.869359,0.018145,0.731855,0.750000,,0.036649,,,,,,,,,,,
Baseline,race,shot,1,0,1000,0.693000,0.570143,0.867840,0.546053,0.761658,0.486667,0.071429,0.912114,0.010913,0.687500,0.698413,,0.038157,,,,,,,,,,,
Baseline,race,shot,2,0,1000,0.661000,0.523710,0.846811,0.440789,0.694301,0.446667,0.035714,0.926366,0.031426,0.645161,0.676587,,0.044673,,,,,,,,,,,
Baseline,race,shot,3,0,1000,0.629000,0.479363,0.820824,0.368421,0.642487,0.373333,0.011905,0.931116,0.015937,0.620968,0.636905,,0.036062,,,,,,,,,,,
Baseline,race,clean,0,1,1000,0.778000,0.686605,0.904465,0.828947,0.891192,0.686667,0.202381,0.855107,0.015553,0.770161,0.785714,,0.068064,,,,,,,,,,,
Baseline,race,cutout,1,1,1000,0.768000,0.677148,0.904585,0.776316,0.891192,0.660000,0.202381,0.859857,0.015713,0.760081,0.775794,,0.060341,,,,,,,,,,,
Baseline,race,cutout,2,1,1000,0.764000,0.671962,0.900897,0.769737,0.880829,0.653333,0.202381,0.859857,0.019777,0.754032,0.773810,,0.056983,,,,,,,,,,,
Baseline,race,cutout,3,1,1000,0.764000,0.674466,0.905469,0.750000,0.880829,0.646667,0.214286,0.866983,0.011777,0.758065,0.769841,,0.035650,,,,,,,,,,,
Baseline,race,defocus,1,1,1000,0.724000,0.620931,0.887497,0.690789,0.860104,0.533333,0.154762,0.855107,0.036418,0.705645,0.742063,,0.080597,,,,,,,,,,,
Baseline,race,defocus,2,1,1000,0.665000,0.547690,0.835848,0.532895,0.740933,0.333333,0.142857,0.900238,0.011361,0.659274,0.670635,,0.046378,,,,,,,,,,,
Baseline,race,defocus,3,1,1000,0.603000,0.451680,0.784114,0.328947,0.658031,0.260000,0.047619,0.909739,0.024354,0.590726,0.615079,,0.029601,,,,,,,,,,,
Baseline,race,gaussian,1,1,1000,0.709000,0.584041,0.867165,0.532895,0.782383,0.580000,0.047619,0.916865,0.010657,0.703629,0.714286,,0.028421,,,,,,,,,,,
Baseline,race,gaussian,2,1,1000,0.680000,0.543376,0.859079,0.473684,0.709845,0.500000,0.023810,0.935867,0.013121,0.673387,0.686508,,0.032015,,,,,,,,,,,
Baseline,race,gaussian,3,1,1000,0.635000,0.475443,0.839760,0.315789,0.652850,0.433333,0.000000,0.940618,0.019841,0.625000,0.644841,,0.057339,,,,,,,,,,,
Baseline,race,glass,1,1,1000,0.761000,0.666671,0.907076,0.782895,0.880829,0.653333,0.178571,0.852732,0.013825,0.754032,0.767857,,0.055340,,,,,,,,,,,
Baseline,race,glass,2,1,1000,0.747000,0.652081,0.899784,0.657895,0.880829,0.706667,0.178571,0.845606,0.034050,0.729839,0.763889,,0.058505,,,,,,,,,,,
Baseline,race,glass,3,1,1000,0.724000,0.624083,0.892241,0.638158,0.854922,0.606667,0.166667,0.847981,0.040419,0.703629,0.744048,,0.060375,,,,,,,,,,,
Baseline,race,impulse,1,1,1000,0.700000,0.564434,0.868122,0.513158,0.746114,0.693333,0.023810,0.883610,0.004800,0.697581,0.702381,,0.036160,,,,,,,,,,,
Baseline,race,impulse,2,1,1000,0.672000,0.523211,0.854572,0.447368,0.683938,0.586667,0.000000,0.912114,0.033250,0.655242,0.688492,,0.025866,,,,,,,,,,,
Baseline,race,impulse,3,1,1000,0.636000,0.483268,0.830543,0.355263,0.626943,0.520000,0.000000,0.909739,0.021825,0.625000,0.646825,,0.041396,,,,,,,,,,,
Baseline,race,jpeg,1,1,1000,0.779000,0.687947,0.904619,0.828947,0.891192,0.693333,0.202381,0.855107,0.017537,0.770161,0.787698,,0.070261,,,,,,,,,,,
Baseline,race,jpeg,2,1,1000,0.757000,0.648410,0.896299,0.710526,0.901554,0.746667,0.107143,0.840855,0.033890,0.739919,0.773810,,0.047588,,,,,,,,,,,
Baseline,race,jpeg,3,1,1000,0.748000,0.615154,0.883030,0.638158,0.875648,0.686667,0.035714,0.893112,0.020033,0.737903,0.757937,,0.048853,,,,,,,,,,,
Baseline,race,shot,1,1,1000,0.697000,0.563121,0.869563,0.539474,0.766839,0.520000,0.023810,0.919240,0.018849,0.687500,0.706349,,0.033227,,,,,,,,,,,
Baseline,race,shot,2,1,1000,0.660000,0.514088,0.850781,0.407895,0.704663,0.460000,0.011905,0.931116,0.013441,0.653226,0.666667,,0.029917,,,,,,,,,,,
Baseline,race,shot,3,1,1000,0.625000,0.468353,0.824866,0.315789,0.647668,0.400000,0.000000,0.931116,0.016001,0.616935,0.632937,,0.016039,,,,,,,,,,,
Baseline,race,clean,0,2,1000,0.781000,0.689050,0.906086,0.835526,0.896373,0.693333,0.202381,0.855107,0.013505,0.774194,0.787698,,0.055249,,,,,,,,,,,
Baseline,race,cutout,1,2,1000,0.771000,0.678503,0.905589,0.756579,0.880829,0.693333,0.202381,0.866983,0.005664,0.768145,0.773810,,0.037835,,,,,,,,,,,
Baseline,race,cutout,2,2,1000,0.763000,0.667397,0.902624,0.750000,0.880829,0.680000,0.178571,0.859857,0.017793,0.754032,0.771825,,0.038604,,,,,,,,,,,
Baseline,race,cutout,3,2,1000,0.769000,0.673107,0.906687,0.736842,0.880829,0.700000,0.178571,0.871734,0.001696,0.768145,0.769841,,0.058198,,,,,,,,,,,
Baseline,race,defocus,1,2,1000,0.730000,0.631897,0.888568,0.723684,0.854922,0.553333,0.190476,0.845606,0.016321,0.721774,0.738095,,0.065634,,,,,,,,,,,
Baseline,race,defocus,2,2,1000,0.661000,0.557976,0.846214,0.565789,0.720207,0.360000,0.202381,0.866983,0.023425,0.649194,0.672619,,0.050547,,,,,,,,,,,
Baseline,race,defocus,3,2,1000,0.618000,0.491921,0.794458,0.375000,0.652850,0.320000,0.119048,0.895487,0.026114,0.604839,0.630952,,0.071369,,,,,,,,,,,
Baseline,race,gaussian,1,2,1000,0.701000,0.579801,0.872008,0.546053,0.792746,0.506667,0.071429,0.909739,0.062788,0.669355,0.732143,,0.066977,,,,,,,,,,,
Baseline,race,gaussian,2,2,1000,0.683000,0.559092,0.863381,0.493421,0.725389,0.506667,0.059524,0.919240,0.027074,0.669355,0.696429,,0.024616,,,,,,,,,,,
Baseline,race,gaussian,3,2,1000,0.635000,0.482953,0.839964,0.296053,0.678756,0.433333,0.011905,0.933492,0.019841,0.625000,0.644841,,0.047314,,,,,,,,,,,
Baseline,race,glass,1,2,1000,0.767000,0.674551,0.906532,0.802632,0.896373,0.646667,0.202381,0.850356,0.005728,0.764113,0.769841,,0.044318,,,,,,,,,,,
Baseline,race,glass,2,2,1000,0.750000,0.655494,0.900949,0.730263,0.886010,0.633333,0.202381,0.845606,0.000000,0.750000,0.750000,,0.064010,,,,,,,,,,,
Baseline,race,glass,3,2,1000,0.738000,0.645639,0.892747,0.730263,0.854922,0.586667,0.238095,0.840855,0.008193,0.733871,0.742063,,0.045026,,,,,,,,,,,
Baseline,race,impulse,1,2,1000,0.705000,0.573791,0.867181,0.473684,0.777202,0.666667,0.047619,0.900238,0.026722,0.691532,0.718254,,0.059637,,,,,,,,,,,
Baseline,race,impulse,2,2,1000,0.675000,0.526993,0.848281,0.401316,0.740933,0.533333,0.011905,0.926366,0.031202,0.659274,0.690476,,0.042726,,,,,,,,,,,
Baseline,race,impulse,3,2,1000,0.632000,0.481600,0.824663,0.335526,0.632124,0.460000,0.011905,0.923990,0.021889,0.620968,0.642857,,0.030775,,,,,,,,,,,
Baseline,race,jpeg,1,2,1000,0.783000,0.691216,0.906020,0.835526,0.901554,0.700000,0.202381,0.855107,0.009473,0.778226,0.787698,,0.049709,,,,,,,,,,,
Baseline,race,jpeg,2,2,1000,0.758000,0.652343,0.898069,0.717105,0.917098,0.706667,0.130952,0.843230,0.031874,0.741935,0.773810,,0.034347,,,,,,,,,,,
Baseline,race,jpeg,3,2,1000,0.725000,0.600527,0.885431,0.631579,0.870466,0.593333,0.059524,0.871734,0.018401,0.715726,0.734127,,0.032217,,,,,,,,,,,
Baseline,race,shot,1,2,1000,0.688000,0.567331,0.871644,0.506579,0.792746,0.453333,0.095238,0.907363,0.024994,0.675403,0.700397,,0.050402,,,,,,,,,,,
Baseline,race,shot,2,2,1000,0.667000,0.536619,0.854460,0.434211,0.730570,0.426667,0.059524,0.928741,0.023329,0.655242,0.678571,,0.056277,,,,,,,,,,,
Baseline,race,shot,3,2,1000,0.623000,0.469571,0.829244,0.328947,0.647668,0.353333,0.011905,0.935867,0.024034,0.610887,0.634921,,0.019775,,,,,,,,,,,
Baseline,race,clean,0,3,1000,0.783000,0.692684,0.910167,0.815789,0.901554,0.686667,0.214286,0.864608,0.013473,0.776210,0.789683,,0.041384,,,,,,,,,,,
Baseline,race,cutout,1,3,1000,0.777000,0.690038,0.909144,0.802632,0.886010,0.653333,0.238095,0.869359,0.009569,0.772177,0.781746,,0.043977,,,,,,,,,,,
Baseline,race,cutout,2,3,1000,0.771000,0.690120,0.907135,0.789474,0.891192,0.646667,0.261905,0.855107,0.013665,0.764113,0.777778,,0.061455,,,,,,,,,,,
Baseline,race,cutout,3,3,1000,0.775000,0.689732,0.910321,0.769737,0.865285,0.660000,0.250000,0.881235,0.002400,0.773810,0.776210,,0.064179,,,,,,,,,,,
Baseline,race,defocus,1,3,1000,0.722000,0.614883,0.888472,0.671053,0.860104,0.546667,0.142857,0.855107,0.036450,0.703629,0.740079,,0.046579,,,,,,,,,,,
Baseline,race,defocus,2,3,1000,0.672000,0.539225,0.846364,0.552632,0.803109,0.340000,0.083333,0.890736,0.021249,0.661290,0.682540,,0.038090,,,,,,,,,,,
Baseline,race,defocus,3,3,1000,0.615000,0.458768,0.799134,0.407895,0.720207,0.226667,0.035714,0.895487,0.004160,0.612903,0.617063,,0.055698,,,,,,,,,,,
Baseline,race,gaussian,1,3,1000,0.715000,0.601464,0.872504,0.585526,0.772021,0.573333,0.095238,0.909739,0.014561,0.707661,0.722222,,0.031852,,,,,,,,,,,
Baseline,race,gaussian,2,3,1000,0.697000,0.567643,0.866900,0.526316,0.751295,0.540000,0.047619,0.919240,0.018849,0.687500,0.706349,,0.017693,,,,,,,,,,,
Baseline,race,gaussian,3,3,1000,0.664000,0.522920,0.842011,0.421053,0.740933,0.480000,0.023810,0.909739,0.037378,0.645161,0.682540,,0.040176,,,,,,,,,,,
Baseline,race,glass,1,3,1000,0.771000,0.681305,0.910879,0.802632,0.901554,0.653333,0.214286,0.852732,0.013665,0.764113,0.777778,,0.028756,,,,,,,,,,,
Baseline,race,glass,2,3,1000,0.749000,0.661838,0.904085,0.684211,0.891192,0.660000,0.226190,0.843230,0.006016,0.745968,0.751984,,0.051034,,,,,,,,,,,
Baseline,race,glass,3,3,1000,0.724000,0.628577,0.895161,0.651316,0.860104,0.560000,0.214286,0.847981,0.028418,0.709677,0.738095,,0.033176,,,,,,,,,,,
Baseline,race,impulse,1,3,1000,0.702000,0.564474,0.875862,0.552632,0.746114,0.653333,0.023810,0.888361,0.012769,0.695565,0.708333,,0.032274,,,,,,,,,,,
Baseline,race,impulse,2,3,1000,0.687000,0.550485,0.856766,0.519737,0.746114,0.560000,0.023810,0.897862,0.007008,0.683468,0.690476,,0.036378,,,,,,,,,,,
Baseline,race,impulse,3,3,1000,0.643000,0.496025,0.832130,0.453947,0.658031,0.466667,0.000000,0.895487,0.031714,0.627016,0.658730,,0.029445,,,,,,,,,,,
Baseline,race,jpeg,1,3,1000,0.782000,0.691454,0.910171,0.809211,0.901554,0.686667,0.214286,0.864608,0.015489,0.774194,0.789683,,0.039111,,,,,,,,,,,
Baseline,race,jpeg,2,3,1000,0.767000,0.657709,0.903350,0.723684,0.906736,0.746667,0.107143,0.857482,0.037730,0.747984,0.785714,,0.040473,,,,,,,,,,,
Baseline,race,jpeg,3,3,1000,0.741000,0.603627,0.890725,0.565789,0.891192,0.660000,0.035714,0.904988,0.026146,0.727823,0.753968,,0.032999,,,,,,,,,,,
Baseline,race,shot,1,3,1000,0.693000,0.566045,0.873842,0.565789,0.761658,0.466667,0.071429,0.912114,0.018913,0.683468,0.702381,,0.040123,,,,,,,,,,,
Baseline,race,shot,2,3,1000,0.665000,0.531442,0.856826,0.440789,0.715026,0.473333,0.047619,0.914489,0.031362,0.649194,0.680556,,0.046631,,,,,,,,,,,
Baseline,race,shot,3,3,1000,0.631000,0.478907,0.831751,0.381579,0.678756,0.366667,0.011905,0.916865,0.003904,0.629032,0.632937,,0.018348,,,,,,,,,,,
Baseline,race,clean,0,4,1000,0.782000,0.686661,0.907363,0.842105,0.901554,0.706667,0.178571,0.852732,0.003488,0.780242,0.783730,,0.058168,,,,,,,,,,,
Baseline,race,cutout,1,4,1000,0.774000,0.689458,0.906228,0.802632,0.880829,0.693333,0.226190,0.852732,0.008385,0.769841,0.778226,,0.051799,,,,,,,,,,,
Baseline,race,cutout,2,4,1000,0.768000,0.681263,0.905538,0.782895,0.896373,0.660000,0.226190,0.850356,0.015713,0.760081,0.775794,,0.055583,,,,,,,,,,,
Baseline,race,cutout,3,4,1000,0.767000,0.682952,0.907559,0.743421,0.906736,0.660000,0.238095,0.855107,0.001728,0.766129,0.767857,,0.050375,,,,,,,,,,,
Baseline,race,defocus,1,4,1000,0.731000,0.632809,0.885759,0.736842,0.854922,0.566667,0.166667,0.843230,0.034306,0.713710,0.748016,,0.078744,,,,,,,,,,,
Baseline,race,defocus,2,4,1000,0.666000,0.553547,0.840007,0.565789,0.756477,0.380000,0.142857,0.866983,0.013345,0.659274,0.672619,,0.039676,,,,,,,,,,,
Baseline,race,defocus,3,4,1000,0.619000,0.493037,0.790491,0.427632,0.704663,0.326667,0.083333,0.859857,0.012097,0.612903,0.625000,,0.067661,,,,,,,,,,,
Baseline,race,gaussian,1,4,1000,0.710000,0.583984,0.873553,0.598684,0.772021,0.546667,0.047619,0.912114,0.016641,0.701613,0.718254,,0.045994,,,,,,,,,,,
Baseline,race,gaussian,2,4,1000,0.684000,0.549550,0.865953,0.513158,0.699482,0.520000,0.023810,0.928741,0.029058,0.669355,0.698413,,0.046041,,,,,,,,,,,
Baseline,race,gaussian,3,4,1000,0.646000,0.499727,0.841049,0.342105,0.689119,0.466667,0.023810,0.923990,0.017665,0.637097,0.654762,,0.050572,,,,,,,,,,,
Baseline,race,glass,1,4,1000,0.772000,0.678092,0.908092,0.809211,0.901554,0.653333,0.190476,0.857482,0.003648,0.770161,0.773810,,0.059179,,,,,,,,,,,
Baseline,race,glass,2,4,1000,0.763000,0.673201,0.902924,0.776316,0.896373,0.680000,0.190476,0.840855,0.017793,0.754032,0.771825,,0.063032,,,,,,,,,,,
Baseline,race,glass,3,4,1000,0.738000,0.644488,0.893433,0.743421,0.875648,0.580000,0.202381,0.836105,0.040195,0.717742,0.757937,,0.072719,,,,,,,,,,,
Baseline,race,impulse,1,4,1000,0.707000,0.574965,0.874261,0.532895,0.746114,0.660000,0.047619,0.900238,0.014689,0.699597,0.714286,,0.033255,,,,,,,,,,,
Baseline,race,impulse,2,4,1000,0.673000,0.528316,0.853629,0.467105,0.715026,0.540000,0.011905,0.907363,0.031234,0.657258,0.688492,,0.051236,,,,,,,,,,,
Baseline,race,impulse,3,4,1000,0.653000,0.507227,0.827246,0.375000,0.673575,0.493333,0.023810,0.926366,0.019553,0.643145,0.662698,,0.048234,,,,,,,,,,,
Baseline,race,jpeg,1,4,1000,0.783000,0.687414,0.907381,0.842105,0.901554,0.706667,0.178571,0.855107,0.001472,0.782258,0.783730,,0.057207,,,,,,,,,,,
Baseline,race,jpeg,2,4,1000,0.764000,0.650193,0.902437,0.743421,0.886010,0.753333,0.095238,0.852732,0.007776,0.760081,0.767857,,0.053197,,,,,,,,,,,
Baseline,race,jpeg,3,4,1000,0.734000,0.605236,0.890484,0.611842,0.849741,0.646667,0.047619,0.893112,0.040259,0.713710,0.753968,,0.044050,,,,,,,,,,,
Baseline,race,shot,1,4,1000,0.703000,0.584150,0.875095,0.598684,0.761658,0.493333,0.083333,0.912114,0.014753,0.695565,0.710317,,0.047070,,,,,,,,,,,
Baseline,race,shot,2,4,1000,0.664000,0.527464,0.854306,0.447368,0.689119,0.460000,0.035714,0.928741,0.013377,0.657258,0.670635,,0.050143,,,,,,,,,,,
Baseline,race,shot,3,4,1000,0.637000,0.483717,0.830494,0.407895,0.652850,0.386667,0.000000,0.928741,0.004192,0.634921,0.639113,,0.015805,,,,,,,,,,,
Baseline,gender,clean,0,0,1000,0.920000,0.920000,0.972778,,,,,,0.126807,0.842105,0.968912,0.172105,0.137113,0.925403,0.914683,,,,,,,,,
Baseline,gender,cutout,1,0,1000,0.924000,0.923997,0.971462,,,,,,0.109865,0.848684,0.958549,0.188571,0.120417,0.925403,0.922619,,,,,,,,,
Baseline,gender,cutout,2,0,1000,0.925000,0.924983,0.971934,,,,,,0.098105,0.855263,0.953368,0.190000,0.102187,0.917339,0.932540,,,,,,,,,
Baseline,gender,cutout,3,0,1000,0.918000,0.917999,0.969926,,,,,,0.100900,0.842105,0.943005,0.205714,0.121098,0.921371,0.914683,,,,,,,,,
Baseline,gender,defocus,1,0,1000,0.914000,0.913988,0.967838,,,,,,0.091526,0.861842,0.953368,0.170000,0.096426,0.909274,0.918651,,,,,,,,,
Baseline,gender,defocus,2,0,1000,0.857000,0.856102,0.942104,,,,,,0.101718,0.789474,0.891192,0.200000,0.116708,0.784274,0.928571,,,,,,,,,
Baseline,gender,defocus,3,0,1000,0.824000,0.821341,0.915355,,,,,,0.111501,0.743421,0.854922,0.180614,0.123923,0.707661,0.938492,,,,,,,,,
Baseline,gender,gaussian,1,0,1000,0.902000,0.901843,0.968678,,,,,,0.095719,0.842105,0.937824,0.200952,0.105901,0.868952,0.934524,,,,,,,,,
Baseline,gender,gaussian,2,0,1000,0.893000,0.892574,0.962234,,,,,,0.103695,0.828947,0.932642,0.151905,0.091748,0.836694,0.948413,,,,,,,,,
Baseline,gender,gaussian,3,0,1000,0.858000,0.857131,0.946965,,,,,,0.131818,0.769737,0.901554,0.211905,0.126287,0.786290,0.928571,,,,,,,,,
Baseline,gender,glass,1,0,1000,0.916000,0.915997,0.971010,,,,,,0.133386,0.835526,0.968912,0.185526,0.138615,0.917339,0.914683,,,,,,,,,
Baseline,gender,glass,2,0,1000,0.905000,0.904999,0.963538,,,,,,0.082561,0.855263,0.937824,0.165263,0.102498,0.915323,0.894841,,,,,,,,,
Baseline,gender,glass,3,0,1000,0.898000,0.897996,0.961274,,,,,,0.132397,0.815789,0.948187,0.175238,0.137791,0.899194,0.896825,,,,,,,,,
Baseline,gender,impulse,1,0,1000,0.893000,0.893000,0.954749,,,,,,0.130614,0.796053,0.926667,0.145526,0.148677,0.899194,0.886905,,,,,,,,,
Baseline,gender,impulse,2,0,1000,0.875000,0.874979,0.947053,,,,,,0.088972,0.815789,0.904762,0.178772,0.109384,0.868952,0.880952,,,,,,,,,
Baseline,gender,impulse,3,0,1000,0.854000,0.853868,0.928983,,,,,,0.173246,0.743421,0.916667,0.198684,0.186474,0.830645,0.876984,,,,,,,,,
Baseline,gender,jpeg,1,0,1000,0.921000,0.921000,0.972694,,,,,,0.131988,0.842105,0.974093,0.178772,0.137933,0.927419,0.914683,,,,,,,,,
Baseline,gender,jpeg,2,0,1000,0.921000,0.920982,0.972986,,,,,,0.126807,0.842105,0.968912,0.165614,0.130050,0.913306,0.928571,,,,,,,,,
Baseline,gender,jpeg,3,0,1000,0.917000,0.916998,0.970478,,,,,,0.062824,0.875000,0.937824,0.192193,0.073011,0.919355,0.914683,,,,,,,,,
Baseline,gender,shot,1,0,1000,0.911000,0.910864,0.970722,,,,,,0.084649,0.848684,0.933333,0.167619,0.079592,0.879032,0.942460,,,,,,,,,
Baseline,gender,shot,2,0,1000,0.883000,0.882741,0.957501,,,,,,0.094730,0.822368,0.917098,0.225877,0.128254,0.842742,0.922619,,,,,,,,,
Baseline,gender,shot,3,0,1000,0.844000,0.843187,0.937792,,,,,,0.104637,0.776316,0.880952,0.232632,0.144447,0.778226,0.908730,,,,,,,,,
Baseline,gender,clean,0,1,1000,0.916000,0.915999,0.973786,,,,,,0.109865,0.848684,0.958549,0.225175,0.119006,0.927419,0.904762,,,,,,,,,
Baseline,gender,cutout,1,1,1000,0.921000,0.921000,0.973314,,,,,,0.103286,0.855263,0.958549,0.231930,0.112204,0.927419,0.914683,,,,,,,,,
Baseline,gender,cutout,2,1,1000,0.926000,0.925995,0.973438,,,,,,0.090128,0.868421,0.958549,0.231930,0.103347,0.925403,0.926587,,,,,,,,,
Baseline,gender,cutout,3,1,1000,0.913000,0.913000,0.969798,,,,,,0.099502,0.848684,0.948187,0.212018,0.107131,0.919355,0.906746,,,,,,,,,
Baseline,gender,defocus,1,1,1000,0.912000,0.911997,0.967778,,,,,,0.098105,0.855263,0.953368,0.191930,0.105817,0.925403,0.898810,,,,,,,,,
Baseline,gender,defocus,2,1,1000,0.876000,0.875801,0.942836,,,,,,0.077719,0.828947,0.906667,0.212632,0.092782,0.842742,0.908730,,,,,,,,,
Baseline,gender,defocus,3,1,1000,0.828000,0.827379,0.912998,,,,,,0.083684,0.776316,0.860000,0.232632,0.147494,0.774194,0.880952,,,,,,,,,
Baseline,gender,gaussian,1,1,1000,0.903000,0.902907,0.964418,,,,,,0.106081,0.842105,0.948187,0.195714,0.113016,0.879032,0.926587,,,,,,,,,
Baseline,gender,gaussian,2,1,1000,0.884000,0.883775,0.960917,,,,,,0.099911,0.822368,0.922280,0.183810,0.094822,0.846774,0.920635,,,,,,,,,
Baseline,gender,gaussian,3,1,1000,0.865000,0.864750,0.946353,,,,,,0.127193,0.789474,0.916667,0.189048,0.136689,0.828629,0.900794,,,,,,,,,
Baseline,gender,glass,1,1,1000,0.918000,0.918000,0.971818,,,,,,0.117842,0.835526,0.953368,0.212018,0.128029,0.925403,0.910714,,,,,,,,,
Baseline,gender,glass,2,1,1000,0.903000,0.902999,0.965698,,,,,,0.095719,0.842105,0.937824,0.205088,0.106066,0.913306,0.892857,,,,,,,,,
Baseline,gender,glass,3,1,1000,0.894000,0.894000,0.961442,,,,,,0.132397,0.815789,0.948187,0.211754,0.143431,0.901210,0.886905,,,,,,,,,
Baseline,gender,impulse,1,1,1000,0.885000,0.884986,0.953185,,,,,,0.125940,0.802632,0.928571,0.211930,0.141940,0.881048,0.888889,,,,,,,,,
Baseline,gender,impulse,2,1,1000,0.870000,0.869898,0.944884,,,,,,0.153509,0.763158,0.916667,0.218947,0.163037,0.848790,0.890873,,,,,,,,,
Baseline,gender,impulse,3,1,1000,0.854000,0.853663,0.928939,,,,,,0.178571,0.750000,0.928571,0.245614,0.194962,0.812500,0.894841,,,,,,,,,
Baseline,gender,jpeg,1,1,1000,0.919000,0.918998,0.973702,,,,,,0.115046,0.848684,0.963731,0.218509,0.124006,0.931452,0.906746,,,,,,,,,
Baseline,gender,jpeg,2,1,1000,0.922000,0.921989,0.973974,,,,,,0.133386,0.835526,0.968912,0.199035,0.136108,0.917339,0.926587,,,,,,,,,
Baseline,gender,jpeg,3,1,1000,0.918000,0.917984,0.971282,,,,,,0.064912,0.868421,0.933333,0.179524,0.077454,0.911290,0.924603,,,,,,,,,
Baseline,gender,shot,1,1,1000,0.903000,0.902881,0.968550,,,,,,0.097895,0.842105,0.940000,0.189048,0.100344,0.875000,0.930556,,,,,,,,,
Baseline,gender,shot,2,1,1000,0.883000,0.882670,0.958069,,,,,,0.116853,0.815789,0.932642,0.203810,0.129044,0.836694,0.928571,,,,,,,,,
Baseline,gender,shot,3,1,1000,0.853000,0.852487,0.940392,,,,,,0.083647,0.809211,0.892857,0.193070,0.104854,0.800403,0.904762,,,,,,,,,
Baseline,gender,clean,0,2,1000,0.924000,0.923999,0.973246,,,,,,0.107070,0.861842,0.968912,0.211842,0.115512,0.935484,0.912698,,,,,,,,,
Baseline,gender,cutout,1,2,1000,0.920000,0.920000,0.972634,,,,,,0.090128,0.868421,0.958549,0.238421,0.110528,0.925403,0.914683,,,,,,,,,
Baseline,gender,cutout,2,2,1000,0.925000,0.924998,0.972822,,,,,,0.096707,0.861842,0.958549,0.211842,0.116184,0.927419,0.922619,,,,,,,,,
